benchmark,system_label,topology,task_count,avg_score,median_score,avg_success_rate,avg_latency_ms,median_latency_ms,avg_tokens,median_tokens,avg_cost_usd,avg_tool_calls,avg_communication,avg_handoffs,avg_steps,avg_loop_score,avg_verification_density
browsecomp,group_chat_debate,group_chat_debate,5,0.2,0.0,0.2,27105.56611650251,26139.72537674569,12030.0,11790.0,0.0,14.0,0.0,7.0,47.0,0.0,0.2127659574468085
browsecomp,sas,sas,5,0.2,0.0,0.2,9433.851566576957,6862.918999899179,72917.6,37316.0,0.0,5.2,0.0,1.0,14.4,0.0,0.15333333333333332
browsecomp,orchestrator_with_discussion,orchestrator_with_discussion,5,0.2,0.0,0.2,45921.46307463199,43319.68128949776,139856.6,106885.0,0.0,28.8,6.8,12.8,80.8,0.03914201688819532,0.1613215697680681
browsecomp,orchestrator_no_discussion,orchestrator_no_discussion,5,0.2,0.0,0.2,37988.58422503434,43762.2264592126,182751.6,226345.0,0.0,25.0,5.0,8.0,65.0,0.0,0.1239637023154219
browsecomp,fully_linked_debate,fully_linked_debate,5,0.0,0.0,0.0,32053.955558651687,31882.253124443818,13965.8,16761.0,0.0,15.2,7.2,9.8,51.4,0.23076923076923075,0.22322580645161288
browsecomp,orchestrator_tree_structure,orchestrator_tree_structure,5,0.0,0.0,0.0,41947.556182738765,36586.39175043441,93134.8,65496.0,0.0,28.6,6.8,12.0,81.8,0.06434782608695652,0.15761772354468848
browsecomp,only_voting,only_voting,5,0.0,0.0,0.0,59522.48475899398,22561.194043165073,137390.2,83170.0,0.0,13.8,0.0,5.0,39.6,0.0,0.1607673992673992
workbench,fully_linked_debate,fully_linked_debate,5,0.4,0.0,0.4,25201.542350340635,18166.518207060173,12731.2,7147.0,0.0,10.0,4.8,8.2,39.0,0.12063492063492062,0.2706819064790667
workbench,group_chat_debate,group_chat_debate,5,0.4,0.0,0.4,41695.68994115107,48562.16587349214,21634.6,23867.0,0.0,18.0,2.4,11.8,61.0,0.14822314869962278,0.21473486108782142
workbench,orchestrator_tree_structure,orchestrator_tree_structure,5,0.4,0.0,0.4,40436.19934258424,33469.1087931823,25887.8,22901.0,0.0,24.8,6.8,12.0,74.2,0.05486725663716814,0.1740191680004408
workbench,orchestrator_with_discussion,orchestrator_with_discussion,5,0.2,0.0,0.2,31145.823216409237,30776.534332735464,21128.8,21168.0,0.0,18.6,5.0,8.0,53.2,0.0,0.1700641025641025
workbench,orchestrator_no_discussion,orchestrator_no_discussion,5,0.2,0.0,0.2,47386.24321671575,34623.398875141516,24282.6,23466.0,0.0,21.0,5.0,8.0,57.0,0.0,0.14105605748108224
workbench,sas,sas,5,0.0,0.0,0.0,9438.486874823644,8693.672332972288,4709.2,4430.0,0.0,4.4,0.0,1.0,12.8,0.0,0.15714285714285708
workbench,only_voting,only_voting,5,0.0,0.0,0.0,36815.71665017344,38756.37662592344,18999.6,20049.0,0.0,18.8,0.0,5.0,49.6,0.0,0.12257187257187252
