benchmark,system_label,task_count,mean_score_delta_vs_sas,mean_success_delta_vs_sas,mean_latency_delta_ms_vs_sas,mean_tokens_delta_vs_sas,mean_communication_delta_vs_sas,mean_tool_calls_delta_vs_sas,score_wins_vs_sas,score_ties_vs_sas,score_losses_vs_sas
browsecomp,group_chat_debate,5,0.0,0.0,17671.71454992555,-60887.6,0.0,8.8,1,3,1
browsecomp,orchestrator_with_discussion,5,0.0,0.0,36487.61150805503,66939.0,6.8,23.6,0,5,0
browsecomp,orchestrator_no_discussion,5,0.0,0.0,28554.732658457382,109834.0,5.0,19.8,0,5,0
browsecomp,fully_linked_debate,5,-0.2,-0.2,22620.103992074728,-58951.8,7.2,10.0,0,4,1
browsecomp,orchestrator_tree_structure,5,-0.2,-0.2,32513.70461616181,20217.2,6.8,23.4,0,4,1
browsecomp,only_voting,5,-0.2,-0.2,50088.63319241702,64472.6,0.0,8.6,0,4,1
workbench,fully_linked_debate,5,0.4,0.4,15763.05547551699,8022.0,4.8,5.6,2,3,0
workbench,group_chat_debate,5,0.4,0.4,32257.203066327424,16925.4,2.4,13.6,2,3,0
workbench,orchestrator_tree_structure,5,0.4,0.4,30997.712467760593,21178.6,6.8,20.4,2,3,0
workbench,orchestrator_with_discussion,5,0.2,0.2,21707.336341585593,16419.6,5.0,14.2,1,4,0
workbench,orchestrator_no_discussion,5,0.2,0.2,37947.756341892105,19573.4,5.0,16.6,1,4,0
workbench,only_voting,5,0.0,0.0,27377.229775349795,14290.4,0.0,14.4,0,5,0
