benchmark,system_label,topology,task_count,avg_score,median_score,avg_success_rate,avg_latency_ms,median_latency_ms,avg_tokens,median_tokens,avg_cost_usd,avg_tool_calls,avg_communication,avg_handoffs,avg_steps,avg_loop_score,avg_verification_density,avg_agent_to_agent_communication,avg_system_mediated_communication
browsecomp,group_chat_debate,group_chat_debate,3,0.3333333333333333,0.0,0.3333333333333333,50899.32855634217,52811.633832990075,28875.0,30289.0,0.0,25.333333333333332,5.333333333333333,14.333333333333334,80.33333333333333,0.2533231363123201,0.19459728353219843,3.3333333333333335,2.0
browsecomp,sas,sas,3,0.3333333333333333,0.0,0.3333333333333333,10499.315639000231,6397.51229200128,78184.33333333333,77542.0,0.0,6.333333333333333,0.0,1.0,16.666666666666668,0.0,0.14696969696969697,0.0,0.0
browsecomp,orchestrator_with_discussion,orchestrator_with_discussion,3,0.3333333333333333,0.0,0.3333333333333333,76078.89866699983,66160.7167489921,122052.66666666667,112887.0,0.0,40.333333333333336,7.0,18.333333333333332,119.0,0.21815297606731496,0.17040042170395983,7.0,0.0
browsecomp,only_voting,only_voting,3,0.3333333333333333,0.0,0.3333333333333333,59035.05686200162,54336.32416799461,332450.0,379662.0,0.0,26.0,0.0,5.0,64.0,0.0,0.10507246376811592,0.0,0.0
browsecomp,fully_linked_debate,fully_linked_debate,3,0.0,0.0,0.0,40517.79008299679,40600.610000004875,20313.666666666668,23186.0,0.0,16.0,8.0,10.333333333333334,53.666666666666664,0.2564102564102564,0.2193548387096774,8.0,0.0
browsecomp,orchestrator_tree_structure,orchestrator_tree_structure,3,0.0,0.0,0.0,92179.0341253305,81437.66591698723,85679.33333333333,79629.0,0.0,43.0,12.0,20.0,125.0,0.31157899613184165,0.1685914807866027,10.0,2.0
browsecomp,orchestrator_no_discussion,orchestrator_no_discussion,3,0.0,0.0,0.0,54682.808277996606,56421.05820998794,123430.33333333333,127087.0,0.0,31.0,7.0,13.333333333333334,85.0,0.21290789515088573,0.15165579117515027,7.0,0.0
workbench,only_voting,only_voting,3,0.3333333333333333,0.0,0.3333333333333333,29840.536416007304,27414.30533201183,16995.0,15335.0,0.0,14.666666666666666,0.0,5.0,41.333333333333336,0.0,0.1461098398169336,0.0,0.0
workbench,fully_linked_debate,fully_linked_debate,3,0.3333333333333333,0.0,0.3333333333333333,45178.918568330584,42086.27179000655,27002.333333333332,27108.0,0.0,15.666666666666666,12.0,13.0,56.333333333333336,0.30237864141218623,0.23123072578578943,12.0,0.0
workbench,orchestrator_no_discussion,orchestrator_no_discussion,3,0.3333333333333333,0.0,0.3333333333333333,42962.515208326746,40894.625917986676,28090.0,27322.0,0.0,22.666666666666668,5.0,8.0,60.333333333333336,0.0,0.13272352255403097,5.0,0.0
workbench,group_chat_debate,group_chat_debate,3,0.3333333333333333,0.0,0.3333333333333333,75534.57557000786,86684.17520898796,37028.666666666664,37612.0,0.0,23.666666666666668,5.333333333333333,14.333333333333334,77.0,0.18458982346832808,0.20011443829868392,3.3333333333333335,2.0
workbench,orchestrator_tree_structure,orchestrator_tree_structure,3,0.3333333333333333,0.0,0.3333333333333333,74205.99448700815,78216.35037700558,43547.666666666664,42843.0,0.0,39.333333333333336,12.0,20.0,117.66666666666667,0.26334393778720394,0.17864969954047363,10.0,2.0
workbench,orchestrator_with_discussion,orchestrator_with_discussion,3,0.3333333333333333,0.0,0.3333333333333333,103199.5619570054,118554.8804150088,55018.0,62302.0,0.0,33.666666666666664,8.0,24.333333333333332,119.0,0.28526170497699654,0.23680552656520815,8.0,0.0
workbench,sas,sas,3,0.0,0.0,0.0,13073.976638666567,9521.892082994862,10339.666666666666,5945.0,0.0,6.666666666666667,0.0,1.0,17.333333333333332,0.0,0.179563492063492,0.0,0.0
