C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,agents,benchmark,eval_avg_score,eval_completion_rate,eval_success_rate,runs,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,system_label,task_dir,task_id,topology,system_root
50309.56003898964,23186.0,0.0,20.0,0.0,12.0,12.0,0.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,38246.3595809968,16365.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,12019.200457992849,6816.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/769,769,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate
40600.610000004875,28794.0,0.0,20.0,0.0,12.0,12.0,0.0,13.0,65.0,0.0307692307692307,0.3846153846153846,0.2,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,8.0,35086.97416700306,18145.0,0.0,0.0,1.0,1.0,186.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,5469.635833001812,10463.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/770,770,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate
30643.200209995848,8961.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,31.0,0.032258064516129,0.0,0.2580645161290322,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,20231.638250996184,4842.0,0.0,0.0,1.0,1.0,144.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,10392.561958999664,3975.0,0.0,1.0,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate/771,771,fully_linked_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/fully_linked_debate
33490.34296000854,14205.0,0.0,14.0,0.0,0.0,2.0,2.0,7.0,47.0,0.0425531914893617,0.0,0.2127659574468085,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,6.0,28922.638333999203,9429.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,4536.704626009334,4763.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/769,769,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate
66396.00887602789,42131.0,0.0,36.0,0.0,6.0,8.0,2.0,21.0,113.0,0.0442477876106194,0.4513274336283185,0.1858407079646017,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,14.0,47775.821877017734,22321.0,0.0,0.0,1.0,1.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,21.0,18542.186999010155,19616.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/770,770,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate
52811.633832990075,30289.0,0.0,26.0,0.0,4.0,6.0,2.0,15.0,81.0,0.037037037037037,0.3086419753086419,0.1851851851851851,1.0,1.0,0.0,0.0,0.0,4,browsecomp,1.0,1.0,1.0,1,10.0,40884.27879198571,19195.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,11871.355041004368,11093.0,0.0,1.0,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate/771,771,group_chat_debate,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/group_chat_debate
76572.86250100925,515635.0,0.0,40.0,0.0,0.0,0.0,0.0,5.0,92.0,0.0108695652173913,0.0,0.0652173913043478,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,74959.99520900659,514441.0,0.0,0.0,1.0,1.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1530.8672920026584,895.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/769,769,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting
46195.983917000995,379662.0,0.0,24.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0166666666666666,0.0,0.1,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,4.0,44755.808166999486,378769.0,0.0,0.0,1.0,1.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1390.1757500015085,746.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/770,770,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting
54336.32416799461,102053.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,40.0,0.025,0.0,0.15,1.0,1.0,0.0,0.0,0.0,4,browsecomp,1.0,1.0,1.0,1,4.0,52943.12525099667,100513.0,0.0,0.0,1.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1363.1989169979352,1326.0,0.0,1.0,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting/771,771,only_voting,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/only_voting
82857.62991599995,209659.0,0.0,40.0,0.0,8.0,8.0,0.0,16.0,107.0,0.0186915887850467,0.3457943925233644,0.1401869158878504,0.0,1.0,0.0,0.0,0.0,4,browsecomp,0.0,1.0,0.0,1,9.0,79194.2398329993,205322.0,0.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,3580.390083000646,4106.0,0.0,1.0,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion/769,769,orchestrator_no_discussion,/Users/maoxunhuang/Desktop/MAS_Analyzer/artifacts/full_experiment/20260403T225842Z/browsecomp/orchestrator_no_discussion
