benchmark,topology,task_id,run,source,propagation,terminal
browsecomp,fully_linked_debate,769,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,769,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,769,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,770,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,770,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,770,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,771,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,771,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,771,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,772,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,772,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,772,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,773,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,773,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,773,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,774,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,774,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,774,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,775,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,775,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,775,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,776,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,776,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,776,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,778,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,778,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,778,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,781,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,781,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,781,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,783,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,783,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,783,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,784,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,784,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,784,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,786,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,786,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,786,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,787,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,787,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,787,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,788,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,788,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,788,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,790,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,790,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,790,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,791,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,791,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,791,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,792,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,792,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,792,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,793,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,793,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,793,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,794,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,794,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,794,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,796,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,796,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,796,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,797,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,797,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,797,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,798,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,798,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,798,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,800,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,800,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,800,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,801,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,801,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,801,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,802,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,802,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,802,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,804,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,804,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,804,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,805,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,805,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,805,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,806,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,806,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,fully_linked_debate,806,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,769,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,769,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,769,run_2,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,770,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,770,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,770,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,771,run_0,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,771,run_1,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,771,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,772,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,772,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,772,run_2,unsupported_hypothesis,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,773,run_0,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
browsecomp,group_chat_debate,773,run_1,retrieval_evidence_gap,contaminated_evidence_state,browse_failure
