outcome,from_state,to_state,count,row_total,probability
success,ok,ok,722,885,0.8158192090395481
success,ok,sparse,15,885,0.01694915254237288
success,ok,error,148,885,0.1672316384180791
success,sparse,ok,16,92,0.17391304347826086
success,sparse,sparse,48,92,0.5217391304347826
success,sparse,error,28,92,0.30434782608695654
success,error,ok,138,537,0.2569832402234637
success,error,sparse,17,537,0.03165735567970205
success,error,error,382,537,0.7113594040968343
fail,ok,ok,622,886,0.7020316027088036
fail,ok,sparse,8,886,0.009029345372460496
fail,ok,error,256,886,0.28893905191873587
fail,sparse,ok,10,69,0.14492753623188406
fail,sparse,sparse,25,69,0.36231884057971014
fail,sparse,error,34,69,0.4927536231884058
fail,error,ok,247,999,0.24724724724724725
fail,error,sparse,28,999,0.028028028028028028
fail,error,error,724,999,0.7247247247247247
