benchmark,system_label,topology,avg_success_rate,avg_stability,avg_tokens_total,success_lift,token_multiplier,avg_tool_calls_total,avg_communication_count,avg_handoff_count
browsecomp,only_voting,only_voting,0.1111111111111111,0.9111111111111112,45891.033333333326,0.03333333333333341,4.276637912021347,4.666666666666667,0.0,5.0
browsecomp,orchestrator_no_discussion,orchestrator_no_discussion,0.1,0.9111111111111112,68862.22222222222,0.02222222222222231,6.417349291799076,16.766666666666666,11.2,15.8
browsecomp,sas,sas,0.0777777777777777,0.9111111111111112,10730.633333333331,0.0,1.0,1.2111111111111112,0.0,1.0
browsecomp,fully_linked_debate,fully_linked_debate,0.0333333333333333,1.0,56938.75555555556,-0.0444444444444444,5.306187788439536,10.544444444444444,12.0,13.0
browsecomp,group_chat_debate,group_chat_debate,0.0333333333333333,1.0,78887.44444444445,-0.0444444444444444,7.351611223113062,17.644444444444446,8.0,19.0
browsecomp,orchestrator_with_discussion,orchestrator_with_discussion,0.0222222222222222,0.9703703703703704,112574.75555555556,-0.0555555555555555,10.490970295840468,40.98888888888889,29.133333333333333,35.7
browsecomp,orchestrator_tree_structure,orchestrator_tree_structure,0.0,1.0,67284.37777777777,-0.0777777777777777,6.270308162405243,22.88888888888889,15.022222222222222,28.166666666666668
finance_agent,orchestrator_tree_structure,orchestrator_tree_structure,0.0666666666666666,1.0,214765.95555555556,0.0222222222222222,8.352961207801826,38.36666666666667,15.2,28.5
finance_agent,only_voting,only_voting,0.0555555555555555,0.9703703703703704,98976.96666666666,0.0111111111111111,3.849542917050918,14.822222222222225,0.0,5.0
finance_agent,orchestrator_with_discussion,orchestrator_with_discussion,0.0555555555555555,0.9703703703703704,239603.7333333333,0.0111111111111111,9.31898486704102,47.43333333333333,24.6,30.23333333333333
finance_agent,sas,sas,0.0444444444444444,0.9407407407407408,25711.355555555558,0.0,1.0,3.955555555555556,0.0,1.0
finance_agent,orchestrator_no_discussion,orchestrator_no_discussion,0.0333333333333333,1.0,167243.46666666667,-0.0111111111111111,6.504653801908538,30.72222222222222,11.666666666666666,16.5
plancraft,only_voting,only_voting,0.3777777777777777,0.6444444444444444,35080.42222222222,0.011111111111111127,3.8916892750564847,0.0,0.0,13.133333333333333
plancraft,fully_linked_debate,fully_linked_debate,0.3666666666666666,0.6148148148148148,83704.45555555556,0.0,9.285855509277349,8.577777777777778,25.73333333333333,29.022222222222226
plancraft,sas,sas,0.3666666666666666,0.5851851851851851,9014.18888888889,0.0,1.0,0.0,0.0,4.222222222222222
plancraft,orchestrator_no_discussion,orchestrator_no_discussion,0.3666666666666666,0.5851851851851851,72841.48888888888,0.0,8.080759099543064,22.0,22.0,32.0
plancraft,group_chat_debate,group_chat_debate,0.2222222222222222,0.674074074074074,111749.46666666666,-0.14444444444444438,12.39706290206674,16.444444444444443,16.444444444444443,40.11111111111111
plancraft,orchestrator_with_discussion,orchestrator_with_discussion,0.1777777777777777,0.674074074074074,130267.54444444444,-0.18888888888888888,14.451388366735404,43.8,43.8,55.4
plancraft,orchestrator_tree_structure,orchestrator_tree_structure,0.1555555555555555,0.674074074074074,89642.78888888888,-0.21111111111111108,9.94463173490682,26.04444444444444,26.04444444444444,50.01111111111111
stabletoolbench,group_chat_debate,group_chat_debate,0.5666666666666667,0.4370370370370369,129508.63333333332,0.23333333333333334,9.706902725912995,17.933333333333334,8.0,19.0
stabletoolbench,orchestrator_with_discussion,orchestrator_with_discussion,0.5444444444444444,0.4074074074074073,130494.56666666668,0.21111111111111108,9.780800185214181,29.45555555555556,21.53333333333333,26.53333333333333
stabletoolbench,orchestrator_no_discussion,orchestrator_no_discussion,0.4666666666666667,0.5851851851851851,75583.42222222222,0.13333333333333336,5.6651121112084555,15.922222222222222,9.733333333333333,13.6
stabletoolbench,orchestrator_tree_structure,orchestrator_tree_structure,0.4555555555555555,0.4962962962962962,103777.38888888888,0.12222222222222218,7.7783001269183485,20.22222222222222,13.6,25.5
stabletoolbench,only_voting,only_voting,0.3888888888888889,0.4962962962962962,48812.64444444444,0.05555555555555558,3.6585946374499074,6.133333333333334,0.0,5.0
stabletoolbench,fully_linked_debate,fully_linked_debate,0.3333333333333333,0.6148148148148148,89287.74444444446,0.0,6.692275469447989,10.644444444444444,12.0,13.0
stabletoolbench,sas,sas,0.3333333333333333,0.5555555555555555,13341.91111111111,0.0,1.0,1.8,0.0,1.0
workbench,only_voting,only_voting,0.2111111111111111,0.8814814814814814,71029.23333333334,0.04444444444444451,3.468954510823676,10.1,0.0,5.0
workbench,group_chat_debate,group_chat_debate,0.2,0.8814814814814814,140873.17777777778,0.03333333333333341,6.880021402074655,22.022222222222226,8.0,19.0
workbench,fully_linked_debate,fully_linked_debate,0.1777777777777777,0.8814814814814814,104467.03333333334,0.0111111111111111,5.102003351399926,14.466666666666669,12.0,13.0
workbench,sas,sas,0.1666666666666666,0.9111111111111112,20475.68888888889,0.0,1.0,3.088888888888889,0.0,1.0
workbench,orchestrator_no_discussion,orchestrator_no_discussion,0.1666666666666666,0.9111111111111112,88523.86666666667,0.0,4.3233645103244385,19.066666666666663,10.466666666666669,14.7
workbench,orchestrator_tree_structure,orchestrator_tree_structure,0.1666666666666666,0.9111111111111112,109082.08888888887,0.0,5.3273953067377455,22.133333333333333,13.066666666666666,24.5
workbench,orchestrator_with_discussion,orchestrator_with_discussion,0.1555555555555555,0.9407407407407408,119713.94444444444,-0.0111111111111111,5.846638181214361,29.711111111111112,20.133333333333333,24.83333333333333
