task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow,system_root,agent_to_agent_communication_count,system_mediated_communication_count
769,0.0,False,99081.34929938657,20041.33333333333,0.0,36.0,0.0,0.0,0.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,323189885.58265454,19305859.55555556,0.0,0.0,,0.0,3.0,79607.17153549194,0.0,0.0,,,1.0,4.0,79607.01207098707,20041.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20041.33333333333,0.2192390743871165,20041.33333333333,36.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
770,0.0,False,69951.61256850933,16282.666666666666,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,2855876.9162877947,1908.222222222222,0.0,0.0,,0.0,3.0,68283.38575363159,0.0,0.0,,,1.0,4.0,68283.28205266735,16282.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16282.666666666666,0.0026828039822982,16282.666666666666,18.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
771,0.0,False,123922.99202169932,17164.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,210082087.07468852,3100988.6666666665,0.0,0.0,,0.0,3.0,106475.33671061198,0.0,0.0,,,1.0,4.0,106475.22870899412,17164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17164.0,0.1025962727948424,17164.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
772,0.6666666666666666,True,99192.3038929049,16915.0,0.0,17.666666666666668,0.0,0.0,0.0,0.0,3.0,39.333333333333336,0.0,0.0,0.0,0.6666666666666666,1.0,0.2222222222222222,303835498.8794985,2181192.0,0.6666666666666666,0.0,25372.5,0.6666666666666666,3.0,86243.19903055827,0.6666666666666667,1.0,,,0.111111111111111,4.0,86243.09277699892,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.333333333333336,0.0353333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,16915.0,0.0873122029555991,16915.0,17.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
773,0.0,False,148952.15893650893,11259.666666666666,0.0,12.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,490609972.1639629,652654.8888888889,0.0,0.0,,0.0,3.0,122427.41759618124,0.0,0.0,,,1.0,4.0,122427.32250033684,11259.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11259.666666666666,0.0717490679886867,11259.666666666666,12.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
774,0.0,False,259235.28161111104,18273.666666666668,0.0,19.33333333333333,0.0,0.0,0.0,0.0,3.0,42.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,800772129.3533865,181566.8888888889,0.0,0.0,,0.0,3.0,227466.41405423483,0.0,0.0,,,1.0,4.0,227466.2794190032,18273.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66666666666666,0.0386666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18273.666666666668,0.0233180713821072,18273.666666666668,19.33333333333333,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
775,0.0,False,121862.3746746162,16915.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,948943395.9172643,4397238.0,0.0,0.0,,0.0,3.0,88332.80118306477,0.0,0.0,,,1.0,4.0,88332.69195600103,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16915.0,0.1239703947426206,16915.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
776,0.0,False,336471.32381940744,16802.666666666668,0.0,19.33333333333333,0.0,0.0,0.0,0.0,3.0,42.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,5785018244.707291,860288.8888888889,0.0,0.0,,0.0,3.0,245269.18800671896,0.0,0.0,,,1.0,4.0,245269.083009344,16802.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66666666666666,0.0386666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16802.666666666668,0.055200618647127,16802.666666666668,19.33333333333333,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
778,0.0,False,154955.11765758073,16294.333333333334,0.0,18.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,794511618.1523167,108148.2222222222,0.0,0.0,,0.0,3.0,120990.19885063171,0.0,0.0,,,1.0,4.0,120990.0804839902,16294.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16294.333333333334,0.0201824133202111,16294.333333333334,18.0,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
781,0.0,False,86136.8761635088,17914.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,3.0,37.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,20530739.370458797,2415828.6666666665,0.0,0.0,,0.0,3.0,80710.05813280742,0.0,0.0,,,1.0,4.0,80709.94603234188,17914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17914.0,0.0867641857236858,17914.0,16.666666666666668,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
783,0.0,False,49715.2097309173,11786.333333333334,0.0,14.666666666666666,0.0,0.0,0.0,0.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,140037769.4641161,3115672.8888888885,0.0,0.0,,0.0,3.0,35824.543714523315,0.0,0.0,,,1.0,4.0,35824.444864018005,11786.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333333333,0.0293333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11786.333333333334,0.1497604747994728,11786.333333333334,14.666666666666666,0.0,browsecomp,aflow,aflow,ensemble,/home/lai/github/MAS_Analyzer_aflow/outputs_aflow_reproduce/aflow_gemma_30x3_T1_20260621/analysis_input/browsecomp/aflow,0.0,0.0
