task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow
VAL0491,1.0,True,4809.821398999338,903.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1171764.7931410875,26.888888888888886,1.0,0.0,903.3333333333334,1.0,0.0,3601.3055642445884,1.0,1.0,nan,nan,1.0,1.0,3601.30555466579,903.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,903.3333333333334,0.005740350253174924,903.3333333333334,0.0,0.0,plancraft,aflow,aflow,generate
VAL0274,1.0,True,2461.34989759812,2481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,1.0,0.0,234781.82712217397,0.0,1.0,0.0,2481.0,1.0,0.0,1901.3234774271648,1.0,1.0,nan,nan,1.0,2.0,1895.1693963317666,2481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2481.0,0.0,2481.0,0.0,0.0,plancraft,aflow,aflow,generate
VAL0381,1.0,True,1576.0825202964043,2561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,1.0,0.0,22725.610986687476,0.0,1.0,0.0,2561.0,1.0,0.0,1421.1662610371907,1.0,1.0,nan,nan,1.0,2.0,1418.5945459988336,2561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2561.0,0.0,2561.0,0.0,0.0,plancraft,aflow,aflow,generate
VAL0229,1.0,True,1076.6284036977595,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,34908.53830157605,0.0,1.0,0.0,892.0,1.0,0.0,888.6849085489908,1.0,1.0,nan,nan,1.0,1.0,888.6848749995503,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,892.0,0.0,892.0,0.0,0.0,plancraft,aflow,aflow,generate
VAL0214,0.0,False,2332.130973400126,991.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,502332.4243169309,49.555555555555564,0.0,0.0,nan,0.0,0.0,1476.3163725535076,0.0,0.0,nan,nan,1.0,1.0,1476.3163599988427,991.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.3333333333334,0.007101113679200698,991.3333333333334,0.0,0.0,plancraft,aflow,aflow,generate
VAL0187,0.0,False,9787.495846293314,2480.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.0,1.0,0.0,18012802.046635274,4547916.222222223,0.0,0.0,nan,0.0,0.0,4716.938257217407,0.0,0.0,nan,nan,1.0,2.0,4713.576118997783,2480.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480.3333333333335,0.8597975002507949,2480.3333333333335,0.0,0.0,plancraft,aflow,aflow,generate
VAL0103,0.3333333333333333,True,5169.410520601741,2212.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.2222222222222222,0.0,0.3333333333333333,1.0,0.22222222222222224,3068148.9193678666,2480560.888888889,0.3333333333333333,0.0,6638.0,0.3333333333333333,0.0,3057.5512250264487,0.33333333333333337,1.0,nan,nan,0.11111111111111105,1.6666666666666667,3054.3130143329713,2212.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2212.6666666666665,0.711801588039233,2212.6666666666665,0.0,0.0,plancraft,aflow,aflow,generate
VAL0485,0.0,False,667.8834170023038,884.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5303.501111630026,21.555555555555554,0.0,0.0,nan,0.0,0.0,596.820592880249,0.0,0.0,nan,nan,1.0,1.0,596.8205906671452,884.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.3333333333334,0.005250052121064499,884.3333333333334,0.0,0.0,plancraft,aflow,aflow,generate
VAL0049,0.3333333333333333,True,4535.404773694972,2296.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.2222222222222222,0.0,0.3333333333333333,1.0,0.22222222222222224,1100553.6296465236,2649454.888888889,0.3333333333333333,0.0,6889.000000000001,0.3333333333333333,0.0,3285.4064305623374,0.33333333333333337,1.0,nan,nan,0.11111111111111105,1.6666666666666667,3283.57589233201,2296.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2296.3333333333335,0.7088320314060446,2296.3333333333335,0.0,0.0,plancraft,aflow,aflow,generate
VAL0001,1.0,True,3667.611550802394,1913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,1.0,1.0,0.0,1420133.2782297097,0.0,1.0,0.0,1913.0,1.0,0.0,2241.062959035238,1.0,1.0,nan,nan,1.0,2.0,2233.7392733352317,1913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1913.0,0.0,1913.0,0.0,0.0,plancraft,aflow,aflow,generate
