task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow
1073,1.0,True,39873.5813643019,2863.3333333333335,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,8.666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,120364989.34341918,161501.55555555553,1.0,0.0,2863.3333333333335,1.0,1.0,26659.040530522663,1.0,1.0,nan,nan,1.0,2.0,26658.99993066705,2863.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2863.3333333333335,0.14035130198032364,2863.3333333333335,3.3333333333333335,0.0,stabletoolbench,aflow,aflow,review
1572,1.0,True,23556.001064295036,3628.3333333333335,0.0,4.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,2009406.2986444396,122.88888888888887,1.0,0.0,3628.3333333333335,1.0,1.0,21844.48750813802,1.0,1.0,nan,nan,1.0,2.0,21844.450223664655,3628.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.008,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3628.3333333333335,0.003055266724541275,3628.3333333333335,4.0,1.0,stabletoolbench,aflow,aflow,review
3308,1.0,True,49337.34738419944,8697.333333333334,0.0,20.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,36464848.48518645,1152249.5555555557,1.0,0.0,8697.333333333334,1.0,1.0,42735.14954249064,1.0,1.0,nan,nan,1.0,2.0,42735.07650899895,8697.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.04000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8697.333333333334,0.12342045965066639,8697.333333333334,20.0,0.0,stabletoolbench,aflow,aflow,review
3510,1.0,True,45843.873393796595,11747.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,2975848.7738337307,462380.6666666667,1.0,0.0,11747.0,1.0,1.0,43958.05605252584,1.0,1.0,nan,nan,1.0,2.0,43957.99029066742,11747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11747.0,0.057885909948508556,11747.0,10.0,0.0,stabletoolbench,aflow,aflow,review
4505,1.0,True,11887.229621599647,2862.6666666666665,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.0,5.333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1060341.2892358822,150523.55555555556,1.0,0.0,2862.6666666666665,1.0,1.0,11101.357380549112,1.0,1.0,nan,nan,1.0,2.0,11101.32110366491,2862.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2862.6666666666665,0.13552875634789502,2862.6666666666665,1.6666666666666667,0.0,stabletoolbench,aflow,aflow,review
5116,1.0,True,44677.46481450185,8892.666666666666,0.0,8.333333333333334,0.36,0.0,0.0,0.0,1.0,18.666666666666668,0.0,0.0,0.0,1.0,1.0,0.0,34711319.93641148,2762246.222222222,1.0,0.0,8892.666666666666,1.0,1.0,39848.7643400828,1.0,1.0,nan,nan,1.0,2.0,39848.718397998404,8892.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.016666666666666673,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8892.666666666666,0.18689564456163582,8892.666666666666,8.333333333333334,0.36,stabletoolbench,aflow,aflow,review
7497,1.0,True,31488.20191339634,3663.3333333333335,0.0,2.3333333333333335,1.0,0.0,0.0,0.0,1.0,6.666666666666667,0.0,0.0,0.0,1.0,1.0,0.0,52991664.232651144,707449.5555555555,1.0,0.0,3663.3333333333335,1.0,1.0,22763.721704483032,1.0,1.0,nan,nan,1.0,2.0,22763.682239329984,3663.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.004666666666666667,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3663.3333333333335,0.22959969210704406,3663.3333333333335,2.3333333333333335,1.0,stabletoolbench,aflow,aflow,review
7658,1.0,True,47086.24911280577,2387.0,0.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,166345243.18654191,371900.6666666667,1.0,0.0,2387.0,1.0,1.0,33096.22391064962,1.0,1.0,nan,nan,1.0,2.0,33096.193813667924,2387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2387.0,0.25548244245258894,2387.0,2.0,0.5,stabletoolbench,aflow,aflow,review
8025,1.0,True,17785.795096898175,13891.0,0.0,1.6666666666666667,1.0,0.0,0.0,0.0,1.0,5.333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,7866442.487057868,3487748.6666666665,1.0,0.0,13891.0,1.0,1.0,15238.949537277222,1.0,1.0,nan,nan,1.0,2.0,15238.919092997094,13891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0033333333333333335,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13891.0,0.13444327380816853,13891.0,1.6666666666666667,1.0,stabletoolbench,aflow,aflow,review
9984,0.6666666666666666,True,11758.486493504563,2302.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.22222222222222224,365400.3499928352,298.6666666666667,0.6666666666666666,0.0,3453.0,0.6666666666666666,1.0,11104.769070943197,0.6666666666666667,1.0,nan,nan,0.11111111111111105,2.0,11104.715275667937,2302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2302.0,0.007507374107625671,2302.0,2.0,0.0,stabletoolbench,aflow,aflow,review
