task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology,best_workflow
multi_domain_0,0.0,False,13525.842545696836,5208.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,12.333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,4921680.076072461,8180.666666666667,0.0,0.0,nan,0.0,0.0,10870.656251907349,0.0,0.0,nan,nan,1.0,1.0,10870.644050999545,5208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,0.011333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.0,0.01736694276302891,5208.0,5.666666666666667,0.0,workbench,aflow,aflow,generate
multi_domain_1,0.0,False,16114.815976698697,5891.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,12.333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,9492236.267076286,895668.6666666666,0.0,0.0,nan,0.0,0.0,12392.499764760336,0.0,0.0,nan,nan,1.0,1.0,12392.48747733412,5891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,0.011333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891.0,0.16065145675652792,5891.0,5.666666666666667,0.0,workbench,aflow,aflow,generate
multi_domain_2,0.3333333333333333,True,22224.713914898584,5717.333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,35389666.71567405,1791590.8888888888,0.3333333333333333,0.0,17152.0,0.3333333333333333,0.0,15215.495665868124,0.33333333333333337,1.0,nan,nan,0.11111111111111105,1.0,15215.482648333515,5717.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,5717.333333333333,0.2341132043623801,5717.333333333333,6.0,0.0,workbench,aflow,aflow,generate
multi_domain_3,0.0,False,13673.824034501078,3753.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,9779324.490141602,956344.6666666666,0.0,0.0,nan,0.0,0.0,9895.613352457682,0.0,0.0,nan,nan,1.0,1.0,9895.603145334462,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.009333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3753.0,0.26057254558889237,3753.0,4.666666666666667,0.0,workbench,aflow,aflow,generate
multi_domain_4,1.0,True,17136.77453869775,4633.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,9.666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,10727362.332534254,1034002.6666666666,1.0,0.0,4633.0,1.0,0.0,13203.91035079956,1.0,1.0,nan,nan,1.0,1.0,13203.900746998746,4633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,0.008666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4633.0,0.21948180805931583,4633.0,4.333333333333333,0.0,workbench,aflow,aflow,generate
multi_domain_5,0.3333333333333333,True,10122.313904396726,4089.3333333333335,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,3793769.1214274312,1875606.888888889,0.3333333333333333,0.0,12268.000000000002,0.3333333333333333,0.0,8471.943298975626,0.33333333333333337,1.0,nan,nan,0.11111111111111105,1.0,8471.933165332302,4089.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.009333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,4089.3333333333335,0.334902505785003,4089.3333333333335,4.666666666666667,0.0,workbench,aflow,aflow,generate
multi_domain_6,0.0,False,16368.621536799474,4705.333333333333,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6846595.264521194,834460.2222222221,0.0,0.0,nan,0.0,0.0,13215.676307678223,0.0,0.0,nan,nan,1.0,1.0,13215.664837999308,4705.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.01066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.333333333333,0.19413883744364124,4705.333333333333,5.333333333333333,0.0,workbench,aflow,aflow,generate
multi_domain_7,0.0,False,20855.996294604844,6482.666666666667,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,13.666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,18745650.380684704,2629705.5555555555,0.0,0.0,nan,0.0,0.0,15629.74993387858,0.0,0.0,nan,nan,1.0,1.0,15629.736387338198,6482.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,0.012666666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.666666666667,0.25014963343846586,6482.666666666667,6.333333333333333,0.0,workbench,aflow,aflow,generate
multi_domain_8,0.0,False,14258.421019004583,5604.333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5313673.068811072,266166.88888888893,0.0,0.0,nan,0.0,0.0,12524.47501818339,0.0,0.0,nan,nan,1.0,1.0,12524.462048335408,5604.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5604.333333333333,0.09205620260479296,5604.333333333333,6.0,0.0,workbench,aflow,aflow,generate
multi_domain_9,0.0,False,12728.631265604967,4898.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,5766998.11524338,22712.666666666668,0.0,0.0,nan,0.0,0.0,9993.681907653809,0.0,0.0,nan,nan,1.0,1.0,9993.670277336301,4898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.01066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4898.0,0.03076913468365404,4898.0,5.333333333333333,0.0,workbench,aflow,aflow,generate
