task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology
VAL0491,0.0,False,447508.3490304329,246758.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,1415399584.4262707,5120.888888888888,0.0,0.0,nan,0.0,123.0,408621.2332248688,0.0,0.0,nan,nan,1.0,124.0,408567.7254576864,246758.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246758.33333333334,0.00029000190325365505,246758.33333333334,0.0,0.0,plancraft,dylan,dylan
VAL0274,0.0,False,423999.8116503932,263944.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,2251871527.8462906,254.0,0.0,0.0,nan,0.0,123.0,380179.9975236257,0.0,0.0,nan,nan,1.0,124.0,379767.37776199175,263944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263944.0,6.038166221057962e-05,263944.0,0.0,0.0,plancraft,dylan,dylan
VAL0381,0.0,False,496604.29078401066,267169.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,21052062740.47252,1980.6666666666667,0.0,0.0,nan,0.0,123.0,322670.7288424174,0.0,0.0,nan,nan,1.0,124.0,322620.53937836987,267169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267169.0,0.00016657876251248557,267169.0,0.0,0.0,plancraft,dylan,dylan
VAL0229,0.0,False,323671.7140820845,246358.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,597948688.2785567,446.88888888888886,0.0,0.0,nan,0.0,123.0,297372.29267756146,0.0,0.0,nan,nan,1.0,124.0,297344.19703531597,246358.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246358.66666666666,8.580882072051008e-05,246358.66666666666,0.0,0.0,plancraft,dylan,dylan
VAL0214,0.0,False,297475.91587940697,182481.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,88.33333333333333,89.33333333333333,0.0,0.6256313131313131,0.0,0.0,0.3333333333333333,0.0,15906708504.795408,14732185574.888887,0.0,0.0,nan,0.0,88.33333333333333,206099.9371210734,0.0,0.0,nan,nan,1.0,89.33333333333333,206084.44859834466,182481.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182481.66666666666,0.6651419687612785,182481.66666666666,0.0,0.0,plancraft,dylan,dylan
VAL0187,0.0,False,351161.67646829924,172504.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,88.0,0.0,0.625,0.0,0.0,0.3333333333333333,0.0,20249428238.973797,13304408970.666666,0.0,0.0,nan,0.0,87.0,217141.31800333658,0.0,0.0,nan,nan,1.0,88.0,217126.09197668158,172504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172504.0,0.6686496526160761,172504.0,0.0,0.0,plancraft,dylan,dylan
VAL0103,0.0,False,279952.03525825415,267758.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,127.0,128.0,0.0,0.9375,0.0,0.0,0.0,0.0,100591646.90812339,32800.22222222222,0.0,0.0,nan,0.0,127.0,268452.2042274475,0.0,0.0,nan,nan,1.0,128.0,268430.0642203113,267758.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267758.3333333333,0.0006763872258075531,267758.3333333333,0.0,0.0,plancraft,dylan,dylan
VAL0485,0.0,False,473355.7704617866,243915.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,157712047.95786083,4498.666666666667,0.0,0.0,nan,0.0,123.0,463654.1082064311,0.0,0.0,nan,nan,1.0,124.0,463631.8618276467,243915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243915.0,0.00027498145054150237,243915.0,0.0,0.0,plancraft,dylan,dylan
VAL0049,0.0,False,575870.354236383,284744.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,136.0,0.0,0.9410403050108932,0.0,0.0,0.0,0.0,10701899679.349123,124996722.66666667,0.0,0.0,nan,0.0,135.0,472991.4763768514,0.0,0.0,nan,nan,1.0,136.0,472968.8337000019,284744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284744.0,0.03926401722155998,284744.0,0.0,0.0,plancraft,dylan,dylan
VAL0001,0.0,False,345410.19249555975,238517.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,72473728.64206345,18.0,0.0,0.0,nan,0.0,123.0,335534.19248263043,0.0,0.0,nan,nan,1.0,124.0,335510.6725360286,238517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238517.0,1.7787581963211363e-05,238517.0,0.0,0.0,plancraft,dylan,dylan
