task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology
1073,0.3333333333333333,True,199625.19280930504,15882.333333333334,0.0,8.0,0.0,0.0,0.0,0.0,8.333333333333334,25.333333333333332,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,1173665573.2989588,4917164.222222223,0.3333333333333333,0.0,47647.00000000001,0.3333333333333333,8.333333333333334,160299.1477648417,0.33333333333333337,1.0,nan,nan,0.11111111111111105,9.333333333333334,160267.82524633504,15882.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,15882.333333333334,0.13961852637944347,15882.333333333334,8.0,0.0,stabletoolbench,dylan,dylan
1572,1.0,True,238804.05100600113,14847.0,0.0,8.0,1.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,1108066520.3889737,38152.666666666664,1.0,0.0,14847.0,1.0,9.0,199297.0288594564,1.0,1.0,nan,nan,1.0,10.0,199246.00410866574,14847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.016000000000000007,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14847.0,0.013155996236462617,14847.0,8.0,1.0,stabletoolbench,dylan,dylan
3308,1.0,True,364897.9840197804,39043.666666666664,0.0,65.0,0.0,0.0,0.0,0.0,8.333333333333334,139.33333333333334,0.0,0.0,0.0,1.0,1.0,0.0,6820040766.753601,24416394.88888889,1.0,0.0,39043.666666666664,1.0,8.333333333333334,274782.4659347534,1.0,1.0,nan,nan,1.0,9.333333333333334,274728.89840733114,39043.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.1300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39043.666666666664,0.12655816631473857,39043.666666666664,65.0,0.0,stabletoolbench,dylan,dylan
3510,0.0,False,454309.89666608913,36114.666666666664,0.0,19.333333333333332,0.10344827586206896,0.0,0.0,0.0,9.0,48.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,11042340884.901333,64198394.88888889,0.0,0.0,nan,0.0,9.0,361777.7720292409,0.0,0.0,nan,nan,1.0,10.0,361777.1928369912,36114.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.666666666666664,0.03866666666666669,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36114.666666666664,0.22185972695994913,36114.666666666664,19.333333333333332,0.10344827586206896,stabletoolbench,dylan,dylan
4505,1.0,True,82567.8623030881,12711.333333333334,0.0,4.0,0.0,0.0,0.0,0.0,8.333333333333334,17.333333333333332,0.0,0.0,0.0,1.0,1.0,0.0,289570155.4996374,1586113.5555555553,1.0,0.0,12711.333333333334,1.0,8.333333333333334,65413.23177019755,1.0,1.0,nan,nan,1.0,9.333333333333334,65412.96656666964,12711.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12711.333333333334,0.09907772614674093,12711.333333333334,4.0,0.0,stabletoolbench,dylan,dylan
5116,0.0,False,526061.9399783885,45844.666666666664,0.0,28.333333333333332,0.2823529411764706,0.0,0.0,0.0,9.0,66.66666666666667,0.0,0.0,0.0,0.0,1.0,0.0,13250469205.489214,1181606.2222222222,0.0,0.0,nan,0.0,9.0,388627.0020008087,0.0,0.0,nan,nan,1.0,10.0,388626.14021400316,45844.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,0.056666666666666705,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45844.666666666664,0.02371087414172177,45844.666666666664,28.333333333333332,0.2823529411764706,stabletoolbench,dylan,dylan
7497,1.0,True,257883.0278943012,18668.333333333332,0.0,7.333333333333333,1.0,0.0,0.0,0.0,9.0,24.666666666666668,0.0,0.0,0.0,1.0,1.0,0.0,3339049690.6579623,702529.5555555555,1.0,0.0,18668.333333333332,1.0,9.0,188187.5344912211,1.0,1.0,nan,nan,1.0,10.0,188187.11961000614,18668.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,0.014666666666666673,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18668.333333333332,0.044897974925068945,18668.333333333332,7.333333333333333,1.0,stabletoolbench,dylan,dylan
7658,0.0,False,348714.1866464213,29419.0,0.0,9.0,0.5185185185185185,0.0,0.0,0.0,7.666666666666667,26.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0,2175568719.508383,37881034.666666664,0.0,0.0,nan,0.0,7.666666666666667,310310.23200352985,0.0,0.0,nan,nan,1.0,8.666666666666666,310309.1421626693,29419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.01800000000000001,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29419.0,0.20921027486216937,29419.0,9.0,0.5185185185185185,stabletoolbench,dylan,dylan
8025,1.0,True,71303.43359519631,46635.666666666664,0.0,4.0,1.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,23584576.15785943,1670.8888888888887,1.0,0.0,46635.666666666664,1.0,7.0,65589.7212823232,1.0,1.0,nan,nan,1.0,8.0,65589.52537166381,46635.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.008,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46635.666666666664,0.0008765074182280761,46635.666666666664,4.0,1.0,stabletoolbench,dylan,dylan
9984,1.0,True,70156.45558911367,9124.666666666666,0.0,4.0,0.0,0.0,0.0,0.0,7.666666666666667,16.666666666666668,0.0,0.0,0.0,1.0,1.0,0.0,204550404.65742934,1009293.5555555556,1.0,0.0,9124.666666666666,1.0,7.666666666666667,52925.430138905846,1.0,1.0,nan,nan,1.0,8.666666666666666,52925.202571010836,9124.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9124.666666666666,0.11010112128855262,9124.666666666666,4.0,0.0,stabletoolbench,dylan,dylan
