task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology
multi_domain_0,0.0,False,110386.5273982061,26603.333333333332,0.0,21.666666666666668,0.0,0.0,0.0,0.0,8.333333333333334,52.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,41079419.347251125,16979024.88888889,0.0,0.0,nan,0.0,8.333333333333334,103388.2098197937,0.0,0.0,nan,nan,1.0,9.333333333333334,103387.73480067053,26603.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.333333333333336,0.04333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26603.333333333332,0.15488890745635192,26603.333333333332,21.666666666666668,0.0,workbench,dylan,dylan
multi_domain_1,0.0,False,133852.9175755966,28700.0,0.0,22.666666666666668,0.0,0.0,0.0,0.0,8.333333333333334,54.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,137207771.2710838,624.6666666666666,0.0,0.0,nan,0.0,8.333333333333334,119728.34944725037,0.0,0.0,nan,nan,1.0,9.333333333333334,119727.98606700113,28700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.333333333333336,0.045333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28700.0,0.000870847820355656,28700.0,22.666666666666668,0.0,workbench,dylan,dylan
multi_domain_2,1.0,True,117195.46906970302,30384.0,0.0,27.0,0.0,0.0,0.0,0.0,8.333333333333334,63.333333333333336,0.0,0.0,0.0,1.0,1.0,0.0,101016416.71264397,8933750.0,1.0,0.0,30384.0,1.0,8.333333333333334,109216.01295471191,1.0,1.0,nan,nan,1.0,9.333333333333334,109215.60755466756,30384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.05400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30384.0,0.09837210171359165,30384.0,27.0,0.0,workbench,dylan,dylan
multi_domain_3,0.0,False,69781.18375030087,23935.333333333332,0.0,18.333333333333332,0.0,0.0,0.0,0.0,9.0,46.666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,1207157.8885770272,711630.888888889,0.0,0.0,nan,0.0,9.0,68800.200064977,0.0,0.0,nan,nan,1.0,10.0,68799.84251433537,23935.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,0.03666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23935.333333333332,0.03524422095892297,23935.333333333332,18.333333333333332,0.0,workbench,dylan,dylan
multi_domain_4,1.0,True,117280.57504010231,29932.0,0.0,22.666666666666668,0.0,0.0,0.0,0.0,9.0,55.333333333333336,0.0,0.0,0.0,1.0,1.0,0.0,26258560.82439716,6010064.666666667,1.0,0.0,29932.0,1.0,9.0,113009.14867719014,1.0,1.0,nan,nan,1.0,10.0,113008.75842700043,29932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.333333333333336,0.045333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29932.0,0.0819037593021696,29932.0,22.666666666666668,0.0,workbench,dylan,dylan
multi_domain_5,1.0,True,103896.37939199989,23124.0,0.0,18.666666666666668,0.0,0.0,0.0,0.0,8.333333333333334,46.666666666666664,0.0,0.0,0.0,1.0,1.0,0.0,187780014.08745143,8255320.666666667,1.0,0.0,23124.0,1.0,8.333333333333334,87339.22998110454,1.0,1.0,nan,nan,1.0,9.333333333333334,87338.93168699554,23124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,0.03733333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23124.0,0.12425217882562477,23124.0,18.666666666666668,0.0,workbench,dylan,dylan
multi_domain_6,0.0,False,119141.43864059188,27754.666666666668,0.0,24.333333333333332,0.0,0.0,0.0,0.0,8.333333333333334,58.0,0.0,0.0,0.0,0.0,1.0,0.0,54757871.684934504,4132442.8888888895,0.0,0.0,nan,0.0,8.333333333333334,111873.202085495,0.0,0.0,nan,nan,1.0,9.333333333333334,111872.87553232939,27754.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.666666666666664,0.0486666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27754.666666666668,0.07324321752345533,27754.666666666668,24.333333333333332,0.0,workbench,dylan,dylan
multi_domain_7,0.0,False,101454.46876819445,26773.666666666668,0.0,21.0,0.0,0.0,0.0,0.0,9.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,35514203.46842075,11070950.88888889,0.0,0.0,nan,0.0,9.0,96743.8108921051,0.0,0.0,nan,nan,1.0,10.0,96743.41663299856,26773.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.04200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26773.666666666668,0.1242752398548503,26773.666666666668,21.0,0.0,workbench,dylan,dylan
multi_domain_8,1.0,True,97619.48598259661,24836.333333333332,0.0,22.0,0.0,0.0,0.0,0.0,8.333333333333334,53.333333333333336,0.0,0.0,0.0,1.0,1.0,0.0,69141914.43774988,193290.8888888889,1.0,0.0,24836.333333333332,1.0,8.333333333333334,88215.42239189148,1.0,1.0,nan,nan,1.0,9.333333333333334,88215.10632199836,24836.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.04400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24836.333333333332,0.01770183187471204,24836.333333333332,22.0,0.0,workbench,dylan,dylan
multi_domain_9,0.0,False,90078.98983500282,23882.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,8.333333333333334,48.0,0.0,0.0,0.0,0.0,1.0,0.0,18423108.810225293,739792.6666666666,0.0,0.0,nan,0.0,8.333333333333334,85086.17655436198,0.0,0.0,nan,nan,1.0,9.333333333333334,85085.69713266722,23882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.666666666666664,0.03866666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23882.0,0.03601507445816026,23882.0,19.333333333333332,0.0,workbench,dylan,dylan
multi_domain_10,0.0,False,186320.60075020065,38325.666666666664,0.0,104.0,0.0,0.0,0.0,0.0,7.666666666666667,216.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,24613119.46965901,2392046.222222222,0.0,0.0,nan,0.0,7.666666666666667,182600.31588872275,0.0,0.0,nan,nan,1.0,8.666666666666666,182596.6364520027,38325.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.20800000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38325.666666666664,0.04035478758394231,38325.666666666664,104.0,0.0,workbench,dylan,dylan
multi_domain_11,0.0,False,154927.8611064097,30506.666666666668,0.0,43.0,0.007751937984496124,0.0,0.0,0.0,9.0,96.0,0.0,0.0,0.0,0.0,1.0,0.0,479763313.3663442,8947584.222222222,0.0,0.0,nan,0.0,9.0,131268.5260772705,0.0,0.0,nan,nan,1.0,10.0,131268.08641501216,30506.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.08600000000000006,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30506.666666666668,0.09805238025637447,30506.666666666668,43.0,0.007751937984496124,workbench,dylan,dylan
multi_domain_12,0.0,False,268136.75186249457,28405.0,0.0,45.666666666666664,0.0,0.0,0.0,0.0,9.0,101.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,2836998199.6005087,13951228.666666666,0.0,0.0,nan,0.0,9.0,217004.4288635254,0.0,0.0,nan,nan,1.0,10.0,217003.99789401368,28405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.33333333333333,0.09133333333333339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28405.0,0.13149566475072288,28405.0,45.666666666666664,0.0,workbench,dylan,dylan
multi_domain_13,0.0,False,610095.0908186998,24646.666666666668,0.0,60.333333333333336,0.0,0.0,0.0,0.0,7.0,128.66666666666666,0.0,0.0,0.0,0.0,1.0,0.0,17597733521.222103,19753632.88888889,0.0,0.0,nan,0.0,7.0,501124.835729599,0.0,0.0,nan,nan,1.0,8.0,501124.45587065787,24646.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.66666666666667,0.12066666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24646.666666666668,0.1803288851148377,24646.666666666668,60.333333333333336,0.0,workbench,dylan,dylan
multi_domain_14,0.0,False,223108.03073940965,27011.666666666668,0.0,33.333333333333336,0.0,0.0,0.0,0.0,9.0,76.66666666666667,0.0,0.0,0.0,0.0,1.0,0.0,2362199778.9057336,2435013.5555555555,0.0,0.0,nan,0.0,9.0,164601.93451245627,0.0,0.0,nan,nan,1.0,10.0,164601.474956003,27011.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.06666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27011.666666666668,0.05776959327106233,27011.666666666668,33.333333333333336,0.0,workbench,dylan,dylan
